Hortaliça,Mini Abóbora MINI JACK,55,Cucurbita moschata Duchesne,"Abóbora do tipo miniatura de coloração alaranjada e polpa creme. Possui excelente apresentação e ótimo sabor, ideal para ser preparada recheada e assada, em buffet e pratos individuais. Produz em média 5 frutos por planta. Ótima conservação pós-colheita (em torno de 60 dias).",15,2.0,4 - 8,55,Verão,100 x 100,R1: Todo ano; R2: Ago - Fev; R3: Ago - Fev,Peso,120 - 150g
Hortaliça,Mini Abóbora OURO ROSA,900,Cucurbita maxima Duchesne,"Pode ser plantada a campo aberto e ou estufa com condução na vertical. Frutos uniformes com formato definido tipo moranga exposição de coloração externa rosa, tamanho pequeno, cor atrativa com ótimo sabor. Crescimento indeterminado (em rama).",9,1.7,4 - 8,110,Verão,200 x 100,"R1: Todo ano; R2: Ago - Jan, R3: Set - Jan",Peso,150 - 250g
Hortaliça,Mini Abóbora Híbrida PÉROLA NEGRA,908,Cucurbita pepo,Abóbora do tipo miniatura com desenvolvimento em moita. Produz frutos extremamente saborosos e adocicados que lembram castanhas assadas. De coloração verde-escuro e polpa amarela alaranjada. Produto exclusivo e diferenciado voltado para a alta gastronomia.,6,5.0,4 - 8,50,Verão,100 x 100,R1: Todo ano; R2: Ago - Fev; R3: Ago - Fev,Peso; Diâmetro ,350g; 10 - 13cm
Hortaliça,Abóbora Híbrida MAJESTADE,912,Cucurbita moschata Duchesne,Abóbora cilíndrica de pescoço altamente produtiva. Planta rústica e de ciclo curto com ótima sanidade foliar. Frutos de coloração verde-escuro rajado com polpa de cor amarelo vibrante. Ideal para cozimento e produção de doces caseiros e industriais. De fácil transporte e ótima conservação pós-colheita.,9,0.7,4 - 8,90,Verão,200 x 100,R1: Todo ano; R2: Ago - Fev; R3: Ago - Fev,Peso,4 - 6kg
Hortaliça,Abóbora Híbrida TETSUKABUTO F1,16,Cucurbita maxima x C. moschata,"Variedade de alta aceitação no mercado brasileiro. Planta rústica e precoce com elevado potencial produtivo e ótima conservação pós-colheita. No cultivo dessa variedade, deve-se plantar junto (mínimo 20% da área cultivada) outra variedade de abóbora polinizadora.",5,0.3,4 - 8,100,Verão,300 x 300,R1: Todo ano; R2: Ago - Jan; R3: Ago - Jan,Peso,"2 - 2,5kg"
Hortaliça,Abóbora Híbrida TETSUKABUTO CHIKARA,915,Cucurbita maxima duchesne x cucurbita moschata duc,"Abóbora Japonesa. Fruto globular de coloração verde bem escuro. Alta aceitação no mercado Brasileiro, rusticidade, precocidade, elevado potencial produtivo, alta qualidade organoléptica, ótima resistência ao transporte devido à sua pele resistente e prolongada conservação póscolheita. É preciso plantar junto no mínimo 20% de uma abóbora polinizadora.",5,0.3,4 - 8,100,Verão,300 x 300,R1: Todo ano; R2: Ago - Jan; R3: Ago - Jan,Peso,"2,5 - 3,5kg"
Hortaliça,Abóbora Híbrida GLÓRIA BUTTERNUT,851,Cucurbita moschata Duchesne,"Planta rasteira, vigorosa e muito produtiva. Produz frutos de formato cilíndrico com pescoço comprido. São saborosos, carnudos e firmes com muita polpa e poucas sementes. Ideal para produção de doces e cremes e para consumo fresco e processado. Ótima adaptação em diferentes regiões de cultivo e excelente conservação pós-colheita.",12,1.6,4 - 8,90 - 100,Verão,200 x 50,R1: Todo ano; R2: Set - Mar; R3: Out - Fev,Peso; Comprimeto,"1,4 - 1,8Kg; 35 - 38cm"
Hortaliça,Abóbora MAMMOTH,1,Cucurbita pepo L.,"Gigante Amarela/Maranhã, abóbora típica do Halloween. Planta de bom rendimento. Produz frutos globulares ideais para a produção de doces. Muito utilizada também para trato animal.",3,0.6,4 - 8,120,Verão,400 x 100,R1: Todo ano; R2: Ago - Dez; R3: Ago - Dez,Peso; Diâmetro ,10 - 15kg; 25 - 30cm
Hortaliça,Abóbora MENINA BRASILEIRA,2,Cucurbita moschata Duchesne,"Fruto cilíndrico com pescoço curvado de coloração amarelo queimado. Muito utilizada para doces, devido ao seu sabor e consistência da polpa.",12,0.3,4 - 8,120,Verão,300 x 100,R1: Todo ano; R2: Ago - Dez; R3: Ago - Dez,Peso,3 - 12kg
Hortaliça,Abóbora MENINA BRASILEIRA (PRECOCE),3,Cucurbita moschata Duchesne,Fruto cilíndrico com pescoço alongado e coloração verde-claro. Polpa com textura ideal para refogados.,11,0.3,4 - 8,75,Verão,300 x 100,R1: Todo ano; R2: Ago - Fev; R3: Ago - Fev,Peso ,1 - 2kg
Hortaliça,Abóbora MENINA RAJADA (SECA),4,Cucurbita moschata Duchesne,Fruto cilíndrico com pescoço de coloração verde-rajado. Ótima opção para a produção de doces a nível industrial.,11,0.2,4 - 8,140,Verão,400 x 100,R1: Todo ano; R2: Ago - Nov; R3: Ago - Nov,Peso ,5 - 20kg
Hortaliça,Abóbora GOIANINHA,5,Cucurbita moschata Duchesne,"Frutos pequenos, saborosos e de formato cilíndrico. Ótima conservação pós-colheita.",17,0.5,4 - 8,90,Verão,200 x 200,"R1: Todo ano; R2: Ago - Jan, R3: Ago - Jan",Peso ,1kg
Hortaliça,Abóbora BRS BRASILEIRINHA,9,Cucurbita moschata Duchesne,"Frutos cilíndricos com pescoço de cor verde e amarelo. Pode ser usada para conserva, quando os frutos atingirem de 9 a 10cm de comprimento. Precocidade, pode ser consumida verde em refogados ou madura em doces ou para trato de animais.",15,0.2,4 - 8,65,Verão,300 x 300,R1: Todo ano; R2: Ago - Fev; R3: Ago - Fev,Peso ,180 - 400g
Hortaliça,Abóbora BUTTERNUT,12,Cucurbita moschata Duchesne,Frutos de formato cilíndrico com pescoço de cor creme e polpa macia. Ideal para a produção de doces.,12,0.6,4 - 8,90,Verão,200 x 200,R1: Todo ano; R2: Ago - Jan; R3: Ago - Jan,Peso ,"1,3kg"
Hortaliça,Abóbora CORAÇÃO (TIPO JACAREZINHO BAIANA),852,Cucurbita moschata Duchesne,"Variedade do tipo Jacarezinho Baiana. Fruto globular de formato coração, com gomos de casca verde e manchas verde amareladas. Ótima conservação, polpa espessa, muito consistente e sabor diferenciado. Excelente variedade com alto potencial produtivo.",9,1.5,4 - 8,130,Verão,300 x 100,R1: Todo ano; R2: Ago - Fev; R3: Set - Jan,Peso ,2 - 4 kg
Hortaliça,Abóbora ITAPUÃ 301 JACAREZINHO,23,Cucurbita moschata Duchesne,"Fruto globular, achatado e saboroso. Ótima conservação pós-colheita.",10,0.3,4 - 8,110,Verão,300 x 300,R1: Todo ano; R2: Ago - Dez; R3: Ago - Dez,Peso ,"1,3kg"
Hortaliça,Abóbora NOVA CARAVELA,25,Cucurbita moschata Duchesne,Planta vigorosa com hábito de crescimento em rama. Frutos oblongos com gomos suaves de coloração creme e polpa laranja. Variedade excelente para a elaboração de doces. Melhor adaptação em temperaturas quentes e amenas.,11,0.3,4 - 8,140,Verão,300 x 300,R1: Todo ano; R2: Ago - Nov; R3: Ago - Nov,Peso ,9 - 12kg
